0,3,transition : prérequis,#ffde00
3,353,prérequis 1,#ffde00
356,104,prerequis 2,#ffde00
460,17,transition : hypothèses,#ffa200
477,180,hypothèse 1,#ffa200
657,234,hypothèse 2,#ffa200
891,114,transition : protocole,#f30279
1005,172,planification,#f30279
1177,219,nombre de boîtes,#f30279
1396,5,densite cellulaire,#f30279
1401,23,nombre de cellule par boite/taille boîtes,#f30279
1424,85,ensencement,#f30279
1509,524,changement de milieu,#f30279
2033,3,transition : expérience,#0028D5
2036,68,transition : résultats,#aa00d5
2104,34,profils de cytométrie,#aa00d5
2138,33,chekpoint influancé par la privation,#aa00d5
2171,27,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
2198,6,transition : synthèse,#0028d5
2204,63,synthèse,#0028d5
