0,35,transition : prérequis,#ffde00
35,197,prérequis 1,#ffde00
232,82,prerequis 2,#ffde00
314,10,transition : hypothèses,#ffa200
324,77,hypothèse 1,#ffa200
401,127,hypothèse 2,#ffa200
528,48,transition : protocole,#f30279
576,334,planification,#f30279
910,77,nombre de boîtes,#f30279
987,1,densite cellulaire,#f30279
988,1,nombre de cellule par boite/taille boîtes,#f30279
989,7,ensencement,#f30279
996,448,changement de milieu,#f30279
1444,2,transition : expérience,#0028D5
1446,11,transition : résultats,#aa00d5
1457,113,profils de cytométrie,#aa00d5
1570,33,chekpoint influancé par la privation,#aa00d5
1603,90,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1693,6,transition : synthèse,#0028d5
1699,607,synthèse,#0028d5
