0,72,transition : prérequis,#ffde00
72,294,prérequis 1,#ffde00
366,65,prerequis 2,#ffde00
431,9,transition : hypothèses,#ffa200
440,174,hypothèse 1,#ffa200
614,136,hypothèse 2,#ffa200
750,43,transition : protocole,#f30279
793,191,planification,#f30279
984,111,nombre de boîtes,#f30279
1095,11,densite cellulaire,#f30279
1106,21,nombre de cellule par boite/taille boîtes,#f30279
1127,144,ensencement,#f30279
1271,560,changement de milieu,#f30279
1831,8,transition : expérience,#0028D5
1839,16,transition : résultats,#aa00d5
1855,61,profils de cytométrie,#aa00d5
1916,10,chekpoint influancé par la privation,#aa00d5
1926,44,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1970,6,transition : synthèse,#0028d5
1976,74,synthèse,#0028d5
