0,0,transition : prérequis,#ffde00
0,172,hypothèse 2,#ffa200
172,82,transition : protocole,#f30279
254,140,planification,#f30279
394,138,nombre de boîtes,#f30279
532,16,densite cellulaire,#f30279
548,34,nombre de cellule par boite/taille boîtes,#f30279
582,135,ensencement,#f30279
717,671,changement de milieu,#f30279
1388,7,transition : expérience,#0028D5
1395,22,transition : résultats,#aa00d5
1417,36,profils de cytométrie,#aa00d5
1453,28,chekpoint influancé par la privation,#aa00d5
1481,73,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1554,9,transition : synthèse,#0028d5
1563,72,synthèse,#0028d5
