0,17,transition : prérequis,#ffde00
17,227,prérequis 1,#ffde00
244,79,prerequis 2,#ffde00
323,15,transition : hypothèses,#ffa200
338,75,hypothèse 1,#ffa200
413,123,hypothèse 2,#ffa200
536,58,transition : protocole,#f30279
594,326,planification,#f30279
920,75,nombre de boîtes,#f30279
995,5,densite cellulaire,#f30279
1000,2,nombre de cellule par boite/taille boîtes,#f30279
1002,89,ensencement,#f30279
1091,365,changement de milieu,#f30279
1456,4,transition : expérience,#0028D5
1460,15,transition : résultats,#aa00d5
1475,110,profils de cytométrie,#aa00d5
1585,62,chekpoint influancé par la privation,#aa00d5
1647,66,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1713,9,transition : synthèse,#0028d5
1722,78,synthèse,#0028d5
