0,46,transition : prérequis,#ffde00
46,185,prérequis 1,#ffde00
231,104,prerequis 2,#ffde00
335,24,transition : hypothèses,#ffa200
359,99,hypothèse 1,#ffa200
458,75,hypothèse 2,#ffa200
533,7,transition : protocole,#f30279
540,220,planification,#f30279
760,238,nombre de boîtes,#f30279
998,5,densite cellulaire,#f30279
1003,11,nombre de cellule par boite/taille boîtes,#f30279
1014,141,ensencement,#f30279
1155,761,changement de milieu,#f30279
1916,4,transition : expérience,#0028D5
1920,58,transition : résultats,#aa00d5
1978,119,profils de cytométrie,#aa00d5
2097,30,chekpoint influancé par la privation,#aa00d5
2127,58,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
2185,3,transition : synthèse,#0028d5
2188,140,synthèse,#0028d5
