0,2,transition : prérequis,#ffde00
2,106,prérequis 1,#ffde00
108,41,prerequis 2,#ffde00
149,21,transition : hypothèses,#ffa200
170,83,hypothèse 1,#ffa200
253,56,hypothèse 2,#ffa200
309,3,transition : protocole,#f30279
312,300,planification,#f30279
612,59,nombre de boîtes,#f30279
671,3,densite cellulaire,#f30279
674,6,nombre de cellule par boite/taille boîtes,#f30279
680,6,ensencement,#f30279
686,637,changement de milieu,#f30279
1323,2,transition : expérience,#0028D5
1325,2,transition : résultats,#aa00d5
1327,96,profils de cytométrie,#aa00d5
1423,52,chekpoint influancé par la privation,#aa00d5
1475,103,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1578,6,transition : synthèse,#0028d5
1584,155,synthèse,#0028d5
