0,7,transition : prérequis,#ffde00
7,254,prérequis 1,#ffde00
261,56,prerequis 2,#ffde00
317,6,transition : hypothèses,#ffa200
323,314,hypothèse 1,#ffa200
637,65,hypothèse 2,#ffa200
702,75,transition : protocole,#f30279
777,338,planification,#f30279
1115,138,nombre de boîtes,#f30279
1253,3,densite cellulaire,#f30279
1256,44,nombre de cellule par boite/taille boîtes,#f30279
1300,3,ensencement,#f30279
1303,336,changement de milieu,#f30279
1639,3,transition : expérience,#0028D5
1642,58,transition : résultats,#aa00d5
1700,104,profils de cytométrie,#aa00d5
1804,11,chekpoint influancé par la privation,#aa00d5
1815,56,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1871,6,transition : synthèse,#0028d5
1877,82,synthèse,#0028d5
