0,35,transition : prérequis,#ffde00
35,542,prérequis 1,#ffde00
577,104,prerequis 2,#ffde00
681,58,transition : hypothèses,#ffa200
739,190,hypothèse 1,#ffa200
929,189,hypothèse 2,#ffa200
1118,128,transition : protocole,#f30279
1246,229,planification,#f30279
1475,262,nombre de boîtes,#f30279
1737,26,densite cellulaire,#f30279
1763,119,nombre de cellule par boite/taille boîtes,#f30279
1882,29,ensencement,#f30279
1911,439,changement de milieu,#f30279
2350,7,transition : expérience,#0028D5
2357,17,transition : résultats,#aa00d5
2374,91,profils de cytométrie,#aa00d5
2465,6,chekpoint influancé par la privation,#aa00d5
2471,39,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
2510,4,transition : synthèse,#0028d5
2514,41,synthèse,#0028d5
