0,22,transition : prérequis,#ffde00
22,231,prérequis 1,#ffde00
253,47,prerequis 2,#ffde00
300,17,transition : hypothèses,#ffa200
317,312,hypothèse 1,#ffa200
629,59,hypothèse 2,#ffa200
688,36,transition : protocole,#f30279
724,404,planification,#f30279
1128,99,nombre de boîtes,#f30279
1227,13,densite cellulaire,#f30279
1240,12,nombre de cellule par boite/taille boîtes,#f30279
1252,6,ensencement,#f30279
1258,366,changement de milieu,#f30279
1624,16,transition : expérience,#0028D5
1640,20,transition : résultats,#aa00d5
1660,140,profils de cytométrie,#aa00d5
1800,22,chekpoint influancé par la privation,#aa00d5
1822,44,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1866,6,transition : synthèse,#0028d5
1872,86,synthèse,#0028d5
