0,22,transition : prérequis,#ffde00
22,95,prérequis 1,#ffde00
117,84,prerequis 2,#ffde00
201,7,transition : hypothèses,#ffa200
208,69,hypothèse 1,#ffa200
277,60,hypothèse 2,#ffa200
337,28,transition : protocole,#f30279
365,379,planification,#f30279
744,263,nombre de boîtes,#f30279
1007,3,densite cellulaire,#f30279
1010,13,nombre de cellule par boite/taille boîtes,#f30279
1023,38,ensencement,#f30279
1061,968,changement de milieu,#f30279
2029,4,transition : expérience,#0028D5
2033,5,transition : résultats,#aa00d5
2038,25,profils de cytométrie,#aa00d5
2063,17,chekpoint influancé par la privation,#aa00d5
2080,24,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
2104,2,transition : synthèse,#0028d5
2106,87,synthèse,#0028d5
