0,16,transition : prérequis,#ffde00
16,354,prérequis 1,#ffde00
370,55,prerequis 2,#ffde00
425,15,transition : hypothèses,#ffa200
440,61,hypothèse 1,#ffa200
501,50,hypothèse 2,#ffa200
551,27,transition : protocole,#f30279
578,185,planification,#f30279
763,63,nombre de boîtes,#f30279
826,5,densite cellulaire,#f30279
831,6,nombre de cellule par boite/taille boîtes,#f30279
837,97,ensencement,#f30279
934,511,changement de milieu,#f30279
1445,1,transition : expérience,#0028D5
1446,10,transition : résultats,#aa00d5
1456,71,profils de cytométrie,#aa00d5
1527,36,chekpoint influancé par la privation,#aa00d5
1563,32,profils de cytometrie et courbe d'évolution dans une phase,#aa00d5
1595,19,transition : synthèse,#0028d5
1614,41,synthèse,#0028d5
